,future,rate,open,close,open_perp,close_perp
2021-10-24T17:00:00+00:00,MKR-PERP,5.7e-05,2424.5,2420.0,2428.0,2425.5
2021-10-24T18:00:00+00:00,MKR-PERP,6.6e-05,2420.0,2403.5,2425.5,2404.5
2021-10-24T18:00:00+00:00,MKR-PERP,6.6e-05,2420.0,2403.5,2425.5,2404.5
2021-10-24T18:00:00+00:00,MKR-PERP,6.6e-05,2420.0,2403.5,2425.5,2404.5
2021-10-24T18:00:00+00:00,MKR-PERP,6.6e-05,2420.0,2403.5,2425.5,2404.5
2021-10-24T19:00:00+00:00,MKR-PERP,4e-05,2403.5,2408.0,2404.5,2413.0
2021-10-24T19:00:00+00:00,MKR-PERP,4e-05,2403.5,2408.0,2404.5,2413.0
2021-10-24T19:00:00+00:00,MKR-PERP,4e-05,2403.5,2408.0,2404.5,2413.0
2021-10-24T19:00:00+00:00,MKR-PERP,4e-05,2403.5,2408.0,2404.5,2413.0
2021-10-24T20:00:00+00:00,MKR-PERP,4.7e-05,2408.0,2431.5,2413.0,2434.5
2021-10-24T20:00:00+00:00,MKR-PERP,4.7e-05,2408.0,2431.5,2413.0,2434.5
2021-10-24T20:00:00+00:00,MKR-PERP,4.7e-05,2408.0,2431.5,2413.0,2434.5
2021-10-24T20:00:00+00:00,MKR-PERP,4.7e-05,2408.0,2431.5,2413.0,2434.5
2021-10-24T21:00:00+00:00,MKR-PERP,5.5e-05,2431.5,2440.5,2434.5,2441.0
2021-10-24T21:00:00+00:00,MKR-PERP,5.5e-05,2431.5,2440.5,2434.5,2441.0
2021-10-24T21:00:00+00:00,MKR-PERP,5.5e-05,2431.5,2440.5,2434.5,2441.0
2021-10-24T21:00:00+00:00,MKR-PERP,5.5e-05,2431.5,2440.5,2434.5,2441.0
2021-10-24T22:00:00+00:00,MKR-PERP,4.9e-05,2440.5,2436.0,2441.0,2439.0
2021-10-24T22:00:00+00:00,MKR-PERP,4.9e-05,2440.5,2436.0,2441.0,2439.0
2021-10-24T22:00:00+00:00,MKR-PERP,4.9e-05,2440.5,2436.0,2441.0,2439.0
2021-10-24T22:00:00+00:00,MKR-PERP,4.9e-05,2440.5,2436.0,2441.0,2439.0
2021-10-24T23:00:00+00:00,MKR-PERP,5.8e-05,2436.0,2439.5,2439.0,2442.0
2021-10-24T23:00:00+00:00,MKR-PERP,5.8e-05,2436.0,2439.5,2439.0,2442.0
2021-10-24T23:00:00+00:00,MKR-PERP,5.8e-05,2436.0,2439.5,2439.0,2442.0
2021-10-24T23:00:00+00:00,MKR-PERP,5.8e-05,2436.0,2439.5,2439.0,2442.0
2021-10-25T00:00:00+00:00,MKR-PERP,5.6e-05,2439.5,2443.0,2442.0,2447.5
2021-10-25T00:00:00+00:00,MKR-PERP,5.6e-05,2439.5,2443.0,2442.0,2447.5
2021-10-25T00:00:00+00:00,MKR-PERP,5.6e-05,2439.5,2443.0,2442.0,2447.5
2021-10-25T00:00:00+00:00,MKR-PERP,5.6e-05,2439.5,2443.0,2442.0,2447.5
2021-10-25T01:00:00+00:00,MKR-PERP,4.9e-05,2443.0,2439.0,2447.5,2442.5
2021-10-25T01:00:00+00:00,MKR-PERP,4.9e-05,2443.0,2439.0,2447.5,2442.5
2021-10-25T01:00:00+00:00,MKR-PERP,4.9e-05,2443.0,2439.0,2447.5,2442.5
2021-10-25T01:00:00+00:00,MKR-PERP,4.9e-05,2443.0,2439.0,2447.5,2442.5
2021-10-25T02:00:00+00:00,MKR-PERP,5.6e-05,2439.0,2442.0,2442.5,2446.5
2021-10-25T02:00:00+00:00,MKR-PERP,5.6e-05,2439.0,2442.0,2442.5,2446.5
2021-10-25T02:00:00+00:00,MKR-PERP,5.6e-05,2439.0,2442.0,2442.5,2446.5
2021-10-25T02:00:00+00:00,MKR-PERP,5.6e-05,2439.0,2442.0,2442.5,2446.5
2021-10-25T03:00:00+00:00,MKR-PERP,6.7e-05,2442.0,2451.0,2446.5,2454.0
2021-10-25T03:00:00+00:00,MKR-PERP,6.7e-05,2442.0,2451.0,2446.5,2454.0
2021-10-25T03:00:00+00:00,MKR-PERP,6.7e-05,2442.0,2451.0,2446.5,2454.0
2021-10-25T03:00:00+00:00,MKR-PERP,6.7e-05,2442.0,2451.0,2446.5,2454.0
2021-10-25T04:00:00+00:00,MKR-PERP,6.8e-05,2451.0,2454.0,2454.0,2458.0
2021-10-25T04:00:00+00:00,MKR-PERP,6.8e-05,2451.0,2454.0,2454.0,2458.0
2021-10-25T04:00:00+00:00,MKR-PERP,6.8e-05,2451.0,2454.0,2454.0,2458.0
2021-10-25T04:00:00+00:00,MKR-PERP,6.8e-05,2451.0,2454.0,2454.0,2458.0
2021-10-25T05:00:00+00:00,MKR-PERP,6.1e-05,2454.0,2452.5,2458.0,2453.5
2021-10-25T05:00:00+00:00,MKR-PERP,6.1e-05,2454.0,2452.5,2458.0,2453.5
2021-10-25T05:00:00+00:00,MKR-PERP,6.1e-05,2454.0,2452.5,2458.0,2453.5
2021-10-25T05:00:00+00:00,MKR-PERP,6.1e-05,2454.0,2452.5,2458.0,2453.5
2021-10-25T06:00:00+00:00,MKR-PERP,6.7e-05,2452.5,2452.5,2453.5,2456.5
2021-10-25T06:00:00+00:00,MKR-PERP,6.7e-05,2452.5,2452.5,2453.5,2456.5
2021-10-25T06:00:00+00:00,MKR-PERP,6.7e-05,2452.5,2452.5,2453.5,2456.5
2021-10-25T06:00:00+00:00,MKR-PERP,6.7e-05,2452.5,2452.5,2453.5,2456.5
2021-10-25T07:00:00+00:00,MKR-PERP,6.3e-05,2452.5,2472.5,2456.5,2472.5
2021-10-25T07:00:00+00:00,MKR-PERP,6.3e-05,2452.5,2472.5,2456.5,2472.5
2021-10-25T07:00:00+00:00,MKR-PERP,6.3e-05,2452.5,2472.5,2456.5,2472.5
2021-10-25T07:00:00+00:00,MKR-PERP,6.3e-05,2452.5,2472.5,2456.5,2472.5
2021-10-25T08:00:00+00:00,MKR-PERP,5.6e-05,2472.5,2455.0,2472.5,2458.5
2021-10-25T08:00:00+00:00,MKR-PERP,5.6e-05,2472.5,2455.0,2472.5,2458.5
2021-10-25T08:00:00+00:00,MKR-PERP,5.6e-05,2472.5,2455.0,2472.5,2458.5
2021-10-25T08:00:00+00:00,MKR-PERP,5.6e-05,2472.5,2455.0,2472.5,2458.5
2021-10-25T09:00:00+00:00,MKR-PERP,6.9e-05,2455.0,2458.5,2458.5,2461.5
2021-10-25T09:00:00+00:00,MKR-PERP,6.9e-05,2455.0,2458.5,2458.5,2461.5
2021-10-25T09:00:00+00:00,MKR-PERP,6.9e-05,2455.0,2458.5,2458.5,2461.5
2021-10-25T09:00:00+00:00,MKR-PERP,6.9e-05,2455.0,2458.5,2458.5,2461.5
2021-10-25T10:00:00+00:00,MKR-PERP,7.2e-05,2458.5,2456.0,2461.5,2460.0
2021-10-25T10:00:00+00:00,MKR-PERP,7.2e-05,2458.5,2456.0,2461.5,2460.0
2021-10-25T10:00:00+00:00,MKR-PERP,7.2e-05,2458.5,2456.0,2461.5,2460.0
2021-10-25T10:00:00+00:00,MKR-PERP,7.2e-05,2458.5,2456.0,2461.5,2460.0
2021-10-25T11:00:00+00:00,MKR-PERP,5.7e-05,2456.0,2462.5,2460.0,2465.0
